Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
444,"T Schultz, A Waibel","Language-independent and language-adaptive acoustic modeling for speech recognition",2001,"Speech Communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167639300000947","https://scholar.google.com/scholar?cites=10892713572787206172&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-11-06 21:29:44","","","","",,,,,444,23.37,222,2,19,"With the distribution of speech technology products all over the world, the portability to new target languages becomes a practical concern. As a consequence our research focuses on the question of how to port large vocabulary continuous speech recognition (LVCSR) …"
398,"B Denby, T Schultz, K Honda, T Hueber, JM Gilbert…","Silent speech interfaces",2010,"Speech …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167639309001307","https://scholar.google.com/scholar?cites=1589295871323217157&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-11-06 21:29:44","","","","",,,,,398,39.80,66,6,10,"The possibility of speech processing in the absence of an intelligible acoustic signal has given rise to the idea of a 'silent speech'interface, to be used as an aid for the speech-handicapped, or as part of a communications system operating in silence-required or high …"
318,"L Besacier, E Barnard, A Karpov, T Schultz","Automatic speech recognition for under-resourced languages: A survey",2014,"Speech Communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167639313000988","https://scholar.google.com/scholar?cites=5467971984374604304&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-11-06 21:29:44","","","","",,,,,318,53.00,80,4,6,"Speech processing for under-resourced languages is an active field of research, which has experienced significant progress during the past decade. We propose, in this paper, a survey that focuses on automatic speech recognition (ASR) for these languages. The …"
222,"T Schultz","Globalphone: a multilingual speech and text database developed at karlsruhe university",2002,"Seventh International Conference on Spoken …","isca-speech.org","https://www.isca-speech.org/archive/icslp_2002/i02_0345.html","https://scholar.google.com/scholar?cites=15066980250511497559&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-11-06 21:29:44","","","","",,,,,222,12.33,222,1,18,"This paper describes the design, collection, and current status of the multilingual database GlobalPhone, an ongoing project since 1995 at Karlsruhe University. GlobalPhone is a highquality read speech and text database in a large variety of languages which is suitable …"
217,"T Schultz, K Kirchhoff","Multilingual speech processing",2006,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=LC2WKbEr85YC&oi=fnd&pg=PP2&dq=%22tanja+schultz%22&ots=_MY9bfCMq2&sig=YtSIK-cVz9F3KFZSQ4gYJEJmsLo","https://scholar.google.com/scholar?cites=3136522549600665802&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-11-06 21:29:44","BOOK","","","",,,,,217,15.50,109,2,14,"Tanja Schultz and Katrin Kirchhoff have compiled a comprehensive overview of speech processing from a multilingual perspective. By taking this all-inclusive approach to speech processing, the editors have included theories, algorithms, and techniques that are required …"
223,"C Herff, D Heger, O Fortmann, J Hennrich…","Mental workload during n-back task—quantified in the prefrontal cortex using fNIRS",2014,"Frontiers in human …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnhum.2013.00935/full","https://scholar.google.com/scholar?cites=10307051163683899700&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-11-06 21:29:44","HTML","","","",,,,,223,37.17,45,5,6,"When interacting with technical systems, users experience mental workload. Particularly in multitasking scenarios (eg interacting with the car navigation system while driving) it is desired to not distract the users from their primary task. For such purposes, human-machine …"
183,"Z Wang, T Schultz, A Waibel","Comparison of acoustic model adaptation techniques on non-native speech",2003,"2003 IEEE International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1198837/","https://scholar.google.com/scholar?cites=2715814139691947882&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-11-06 21:29:44","","","","",,,,,183,10.76,61,3,17,"The performance of speech recognition systems is consistently poor on non-native speech. The challenge for non-native speech recognition is to maximize the recognition performance with a small amount of available non-native data. We report on acoustic modeling …"
170,"A Waibel, M Bett, F Metze, K Ries…","Advances in automatic meeting record creation and access",2001,"… , Speech, and Signal …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/940902/","https://scholar.google.com/scholar?cites=7887244976923090628&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-11-06 21:29:44","","","","",,,,,170,8.95,34,5,19,"Oral communication is transient, but many important decisions, social contracts and fact findings are first carried out in an oral setup, documented in written form and later retrieved. At Carnegie Mellon University's Interactive Systems Laboratories we have been …"
169,"T Schultz, M Wand","Modeling coarticulation in EMG-based continuous speech recognition",2010,"Speech Communication","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167639309001770","https://scholar.google.com/scholar?cites=9055257635300961115&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-11-06 21:29:44","","","","",,,,,169,16.90,85,2,10,"This paper discusses the use of surface electromyography for automatic speech recognition. Electromyographic signals captured at the facial muscles record the activity of the human articulatory apparatus and thus allow to trace back a speech signal even if it is spoken …"
153,"H Soltau, T Schultz, M Westphal…","Recognition of music types",1998,"Proceedings of the 1998 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/675470/","https://scholar.google.com/scholar?cites=4026383609507568779&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-11-06 21:29:44","","","","",,,,,153,6.95,38,4,22,"This paper describes a music type recognition system that can be used to index and search in multimedia databases. A new approach to temporal structure modeling is supposed. The so called ETM-NN (explicit time modelling with neural network) method uses abstraction of …"
155,"M Killer, S Stuker, T Schultz","Grapheme based speech recognition",2003,"Eighth European Conference on …","isca-speech.org","https://www.isca-speech.org/archive/eurospeech_2003/e03_3141.html","https://scholar.google.com/scholar?cites=7597890642680008849&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-11-06 21:29:44","","","","",,,,,155,9.12,52,3,17,"Large vocabulary speech recognition systems traditionally represent words in terms of subword units, usually phonemes. This paper investigates the potential of graphemes acting as subunits. In order to develop context dependent grapheme based speech recognizers …"
152,"C Herff, D Heger, A De Pesters, D Telaar…","Brain-to-text: decoding spoken phrases from phone representations in the brain",2015,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fnins.2015.00217/full","https://scholar.google.com/scholar?cites=10373792138042739738&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-11-06 21:29:44","HTML","","","",,,,,152,30.40,30,5,5,"It has long been speculated whether communication between humans and machines based on natural speech related cortical activity is possible. Over the past decade, studies have suggested that it is feasible to recognize isolated aspects of speech from neural signals …"
135,"A Waibel, T Schultz, M Bett, M Denecke…","SMaRT: The smart meeting room task at ISL",2003,"… , Speech, and Signal …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1202752/?casa_token=SByke-18WPwAAAAA:Vz2QXwXFlYlJQuFa_aVx2Ywtg_Y0JUoSWD97OYqhUUI_rgbbjUfj19awYjr3ei93mB7Qu3F04A","https://scholar.google.com/scholar?cites=11368825063672847323&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-11-06 21:29:44","","","","",,,,,135,7.94,27,5,17,"As computational and communications systems become increasingly smaller, faster, more powerful, and more integrated, the goal of interactive, integrated meeting support rooms is slowly becoming reality. It is already possible, for instance, to rapidly locate task-related …"
128,"K Schaaff, T Schultz","Towards emotion recognition from electroencephalographic signals",2009,"2009 3rd international conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/5349316/?casa_token=Ti5CuPgFFFUAAAAA:Ogv_tFhAGa8aOYyakTXt_oGYFX4ZngZPkpsvoYPzeV8TgE2smHLprUQG0fQfUbABP_cJBICiOg","https://scholar.google.com/scholar?cites=8607040235483190797&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-11-06 21:29:44","","","","",,,,,128,11.64,64,2,11,"During the last decades, information about the emotional state of users has become more and more important in human-computer interaction. Automatic emotion recognition enables the computer to recognize a user's emotional state and thus allows for appropriate reaction …"
